Date,Text,Compound,Positive,Negative,Neutral,Open,High,Low,Close,Adj Close,Volume,Label
5/24/22,"Chinas central bank urged the nations lenders to step up support for the real economy and meet credit demand, as the worlds second largest economy faces increased downward pressure.In a meeting with … [+1330 chars]",0.7096,0.185,0.038,0.777,316.5700073,320.1499939,313.6199951,319.3900146,318.6530457,5260500,1
5/25/22,"SINGAPORE Singapores economy expanded at a faster pace in the first quarter of 2022 than previously estimated, mainly due to solid growth in the manufacturing, construction and services-producing ind",0.4939,0.127,0,0.873,317.980011,322.5400085,317.4500122,321.2799988,320.5386658,4612800,1
5/26/22,"SHANGHAI, May 26 (Reuters) - Asian share markets slipped on Thursday after minutes from the Federal Reserve's early May meeting showed a majority backing half-percentage-point rate hikes in June and … [+3789 chars]",0.3182,0.096,0,0.904,322.9500122,327.769989,322.8999939,326.4500122,325.6967468,3270200,1
5/27/22,"US stocks rose Friday and headed toward their first weekly advance since March after government data showed signs that inflation moderated last month.  
The Dow Jones Industrial Average was on cours… [+1852 chars]",0,0,0,1,327.0499878,332.1300049,326.8200073,332.0700073,331.303772,2773100,0
5/30/22,"A look at the day ahead in markets from Julien Ponthus.
What a difference a week makes!
With the Dow Jones (.DJI) snapping out of its longest weekly losing streak in nearly a century and scoring it… [+2323 chars]",-0.4389,0,0.071,0.929,330.1700134,332.5499878,327.6600037,330.2000122,329.4381104,4354000,0
5/31/22,"The eurozones annual rate of inflation accelerated again in May, reaching its highest level in history. Consumer prices rose 8.1% on year in May after climbing 7.4% in April, according to a first est… [+1164 chars]",0.2023,0.049,0,0.951,332.4100037,332.9500122,326.1000061,328.3599854,327.6023254,3721400,0
6/1/22,"NEW YORK (AP) A swift jump in Treasury yields is rattling Wall Street on Wednesday, sending stock indexes down about 1% at the start of another month in whats been a turbulent year. 
The S&amp;P 500… [+3704 chars]",0.3818,0.091,0,0.909,328.5499878,332.7799988,325.3599854,332.769989,332.0021362,3718800,1
6/2/22,Bank of Japan policy board member Seiji Adachi rejected some speculation in the markets that the bank may follow other global central banks in tightening monetary policy to avoid further falls in the… [+610 chars],-0.6705,0,0.143,0.857,329.8699951,331.730011,328.730011,329.3500061,328.5900574,4149700,0
6/3/22,"The U.S. is forecast to add 328,000 new jobs in May, down from 428,000 in the prior month, according to economists polled by The Wall Street Journal. The unemployment rate is expected to slip to 3.5%… [+332 chars]",-0.4404,0,0.073,0.927,331.5899963,332.7399902,328.5299988,329.4500122,328.6898193,1957600,0
6/6/22,"US futures and global stocks rallied on Monday as investors' fears about the global economy ebbed, following moves by China to loosen coronavirus restrictions and Friday's strong US jobs report.
S&a… [+2612 chars]",0.128,0.089,0.075,0.836,326.8200073,332.4700012,326.8200073,332.1700134,331.4035645,2424000,1
6/8/22,"Japans economy shrank at a slightly slower pace than initially estimated in the January-March quarter, although spending by households and companies still showed sluggishness.
The worlds third-large… [+578 chars]",0,0,0,1,328.1600037,329.9899902,323,323,322.2546997,2591500,0
6/9/22,"BEIJING Chinas exports rebounded strongly in May as the worlds second-largest economy gradually emerged from COVID-19 lockdowns, factories resumed production and the supply-chain crunch eased.
Expor… [+581 chars]",0.5106,0.142,0,0.858,318.3099976,318.769989,314.3200073,314.3699951,313.6446228,4482400,0
6/10/22,"Inflation is the highest it's been in about 40 years, and it's forcing U.S. consumers to adapt, CNBC reports.
The price of gas was Americans' greatest concern amid inflationary pressure at one point… [+1884 chars]",0.4588,0.107,0.056,0.838,307.5,309.6199951,304.1600037,305.5799866,304.8748779,6317200,0
6/13/22,"U.S. stock futures looked set to break below the lows of May, as financial markets continue to reel from a surprise acceleration in inflation just days ahead of a Federal Reserve interest-rate decisi… [+1945 chars]",0.0772,0.057,0.049,0.894,306.6099854,307.4299927,301.9299927,304.2999878,303.5978394,3724000,0
6/14/22,Indias wholesale inflation accelerated at a faster pace in May owing to higher prices of a wide range of products.The wholesale price index rose 15.88% on year in May after a 15.08% increase in April… [+958 chars],0.3182,0.06,0,0.94,306.3999939,310.6799927,302.2600098,307.230011,306.5211182,7060900,1
6/15/22,"NEW YORK/OAKLAND, June 15 (Reuters) - The S&amp;P 500 index, the most closely followed benchmark for U.S. equities on Wall Street, has slid this year as inflation jumped to its highest rate in 40-yea… [+3411 chars]",0,0,0,1,301.3699951,301.6600037,298.019989,299.8999939,299.2080078,4943500,0
6/16/22,"Have the bears taken over Wall Street? Well, they're certainly clawing at the door, the director of Champlain College's Center for Financial Literacy said Tuesday.
""Are we in a bear market? The answ… [+2243 chars]",0.594,0.128,0,0.872,298.269989,301.5799866,296.3900146,298.7200012,298.7200012,4734400,1
6/17/22,"Shares of American Express Co. were up more than 5% on Friday after Baird turned bullish on the credit-card giant, along with Capital One Financial Corp., Fifth Third Bancorp 
 FITB,
 +2.72%
,
 a… [+1551 chars]",0.296,0.061,0,0.939,303.0799866,306.4700012,302.6199951,305.2900085,305.2900085,3246500,1
6/20/22,Chinas central bank kept benchmark lending rates steady at its monthly fixing on Monday as Beijing again held off from aggressively stimulating its floundering economy at a time when many other count… [+1035 chars],0.1531,0.078,0.062,0.86,301.5299988,307.6799927,301.3299866,304.6099854,304.6099854,6361200,1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,